"centre_no","size","supermarket.800","pharmacy.800","post.800","gp.800","mat.child.health.800","dentist.800","childcare.800","kindergarten.800","primary.800","comm.library.800","convenience.400","rest.cafe.400","park.400","bus.400.tram.600.train.800"
1,"small",9.18032786885246,1.9672131147541,0,0.327868852459016,6.22950819672131,21.3114754098361,100,100,96.3934426229508,0,0,82.9508196721311,100,92.4590163934426
10,"small",0,0,0,60.7766990291262,12.621359223301,0,100,0,100,0,0,0,100,67.9611650485437
100,"small",0,1.28205128205128,0,69.017094017094,0,94.017094017094,95.2991452991453,78.6324786324786,1.28205128205128,0,0,22.4358974358974,100,100
1000,"large",97.1576227390181,97.1576227390181,90.3100775193798,94.5736434108527,59.0439276485788,94.5736434108527,98.7080103359173,83.2041343669251,85.1421188630491,25.968992248062,45.8656330749354,64.0826873385013,78.1653746770026,83.7209302325581
1001,"large",97.2301425661914,66.1507128309572,55.3971486761711,89.1649694501018,77.8818737270876,92.1384928716904,84.969450101833,42.2403258655804,54.5824847250509,0,53.0753564154786,29.2464358452138,94.1751527494908,90.3462321792261
1002,"small",100,10.9375,2.1875,3.125,18.75,0,100,31.5625,100,0,80,1.5625,89.375,93.75
1003,"large",94.3167305236271,91.5708812260536,88.6334610472541,88.6334610472541,90.1021711366539,86.5261813537676,94.2528735632184,90.9961685823755,87.2924648786718,77.2669220945083,25.2873563218391,33.1417624521073,100,78.6079182630907
1004,"small",0,0,0,0,0,0,99.4565217391304,99.4565217391304,47.2826086956522,0,42.1195652173913,72.2826086956522,95.3804347826087,96.4673913043478
1005,"small",0,0,0,36.7924528301887,97.1698113207547,36.7924528301887,97.1698113207547,0,0,97.1698113207547,0,0,74.2138364779874,98.7421383647799
1006,"medium",92.5118483412322,62.2748815165877,62.2748815165877,0,61.7061611374408,0,98.6729857819905,92.8909952606635,83.2227488151659,62.3696682464455,17.914691943128,35.5450236966825,85.4976303317536,38.8625592417062
1007,"small",41.0557184750733,2.63929618768328,0,68.6217008797654,0.879765395894428,0,43.4017595307918,18.1818181818182,2.63929618768328,0,0,0,100,97.3607038123167
1008,"small",100,98.7421383647799,0,100,84.2767295597484,30.5031446540881,95.9119496855346,94.0251572327044,50.314465408805,100,90.5660377358491,0,100,98.4276729559748
1009,"medium",6.57894736842105,96.0526315789474,13.5964912280702,28.0701754385965,28.5087719298246,14.0350877192982,57.0175438596491,5.70175438596491,64.0350877192982,41.2280701754386,7.45614035087719,69.2982456140351,91.6666666666667,69.7368421052632
101,"small",23.0769230769231,37.0445344129555,0,11.7408906882591,1.21457489878543,12.1457489878543,100,100,0.809716599190283,0,0,0,98.9878542510121,64.3724696356275
1010,"medium",98.0441640378549,98.801261829653,97.0347003154574,73.0599369085174,30.0946372239748,70.5993690851735,97.4763406940063,64.6687697160883,55.0788643533123,1.07255520504732,19.3690851735016,19.3690851735016,73.8170347003155,89.2744479495268
1011,"large",96.4869281045752,95.6699346405229,0,82.4346405228758,2.94117647058824,94.1993464052288,94.1993464052288,2.94117647058824,2.85947712418301,81.9444444444444,27.6143790849673,63.562091503268,96.3235294117647,98.2843137254902
1012,"large",98.3761840324763,93.3243121335138,77.1763644564727,91.339648173207,11.8177717636446,91.8358141632837,95.489400090212,44.4294091114118,71.9440685611186,80.2435723951286,55.0293188994136,37.7537212449256,73.0717185385656,67.1628326567433
1013,"small",0,0,0,100,100,0,100,0,91.5032679738562,100,0,85.9477124183007,100,98.3660130718954
1014,"small",3.81471389645777,0,0,5.99455040871935,37.3297002724796,0,100,48.5013623978202,100,11.9891008174387,0,0,99.7275204359673,87.4659400544959
1015,"small",100,100,0,100,6.72645739910314,52.0179372197309,100,100,100,21.0762331838565,89.237668161435,0.448430493273543,20.1793721973094,84.7533632286996
1016,"small",19.493670886076,5.82278481012658,7.34177215189873,100,0,14.9367088607595,100,85.3164556962025,71.8987341772152,34.1772151898734,86.8354430379747,0,100,100
1017,"small",95.6043956043956,0,0,40.6593406593407,5.49450549450549,0,100,95.6043956043956,98.9010989010989,0,89.010989010989,92.3076923076923,100,94.5054945054945
1018,"small",6.59340659340659,1.46520146520147,0,0,0,12.0879120879121,1.46520146520147,0,0,0,0,0,85.7142857142857,74.3589743589744
1019,"large",95.0431034482759,85.9913793103448,9.19540229885057,95.4022988505747,61.9971264367816,64.0804597701149,97.8448275862069,61.9971264367816,29.0948275862069,68.8936781609195,25.7183908045977,10.632183908046,97.9885057471264,81.5373563218391
102,"large",92.0763022743947,0,0,94.4240645634629,82.3917828319883,66.4710198092443,98.8994864269993,14.6735143066764,49.9633162142333,0,22.0836390315481,22.0836390315481,54.6588407923698,89.435069699193
1020,"small",100,100,0,10,27.8947368421053,0,100,76.3157894736842,41.0526315789474,20,83.6842105263158,60.5263157894737,33.1578947368421,85.2631578947368
1021,"small",70.4651162790698,51.6279069767442,40.2325581395349,100,46.9767441860465,100,98.1395348837209,50.4651162790698,98.1395348837209,87.6744186046512,5.81395348837209,25.3488372093023,96.9767441860465,47.6744186046512
1022,"small",99.5305164319249,99.5305164319249,0,0,69.9530516431925,69.9530516431925,100,70.8920187793427,58.9201877934272,66.9014084507042,92.018779342723,84.9765258215963,73.4741784037559,89.6713615023474
1023,"medium",96.7698519515478,0,0,0,0,0,92.5975773889637,37.1467025572005,34.9932705248991,0,27.1870794078062,22.0726783310902,90.7133243606999,73.3512786002692
1024,"small",4.80225988700565,0,0,3.67231638418079,84.4632768361582,0.847457627118644,100,99.7175141242938,100,0,0,0,82.7683615819209,96.3276836158192
1025,"large",96.978021978022,97.2527472527473,95.7417582417582,97.2527472527473,20.8791208791209,22.1153846153846,99.7252747252747,73.6263736263736,64.9725274725275,45.3296703296703,24.8626373626374,29.3956043956044,88.8736263736264,34.8901098901099
1026,"small",90.633608815427,79.0633608815427,5.50964187327824,88.7052341597796,9.09090909090909,72.1763085399449,68.870523415978,0,0,84.5730027548209,30.8539944903581,20.6611570247934,53.9944903581267,100
1027,"small",50.7042253521127,14.0845070422535,14.0845070422535,14.0845070422535,0,0,100,0,0,0,0,19.7183098591549,71.830985915493,50.7042253521127
1028,"small",100,74.384236453202,0,0,99.5073891625616,0,100,99.5073891625616,96.551724137931,99.5073891625616,95.5665024630542,3.44827586206897,72.4137931034483,53.2019704433498
1029,"small",0,53.4124629080119,0,24.6290801186944,99.7032640949555,0,94.0652818991098,0,0,0,0,90.2077151335312,100,98.5163204747775
103,"large",89.2276422764228,15.609756097561,4.02439024390244,98.9430894308943,56.1788617886179,93.4552845528455,100,67.1544715447154,91.0162601626016,70.609756097561,52.479674796748,65.650406504065,79.8373983739837,93.5365853658537
1030,"small",18.6602870813397,93.7799043062201,0,70.5741626794258,48.0861244019139,73.444976076555,91.6267942583732,82.5358851674641,82.0574162679426,51.9138755980861,0,81.8181818181818,47.1291866028708,82.7751196172249
1031,"large",96.6792452830189,82.3396226415094,67.0188679245283,93.9622641509434,1.20754716981132,85.2830188679245,99.7735849056604,1.20754716981132,7.84905660377358,0.30188679245283,37.0566037735849,37.0566037735849,65.811320754717,78.5660377358491
1032,"large",94.9519230769231,83.4134615384615,69.4711538461538,97.5961538461538,3.84615384615385,100,82.2115384615385,37.7403846153846,59.6153846153846,78.8461538461538,30.0480769230769,66.1057692307692,77.4038461538462,77.4038461538462
1034,"large",95.3973249409913,57.8284815106216,38.3949645948072,95.1219512195122,38.9063729346971,71.0464201416208,88.8670338316286,43.5483870967742,61.3296616837136,70.2202989771833,31.5499606608969,39.6538158929976,69.0007867820614,91.3060582218725
1035,"small",100,16.7910447761194,0,32.089552238806,69.0298507462687,0,100,77.9850746268657,66.7910447761194,69.0298507462687,76.1194029850746,62.6865671641791,17.5373134328358,84.7014925373134
1036,"small",18.9922480620155,100,0,96.8992248062015,0,0,95.3488372093023,0,84.1085271317829,0,74.4186046511628,77.5193798449613,77.9069767441861,97.2868217054263
1037,"medium",94.2075623491553,39.0185036202735,0.482703137570394,92.0353982300885,5.06838294448914,53.4995977473854,52.212389380531,5.06838294448914,42.2365245374095,5.06838294448914,20.8366854384553,0,88.0933226065969,79.0024135156878
1038,"small",0,0,0,0,0,0,100,0,0,0,0,12.5,98.2954545454545,71.0227272727273
1039,"large",96.9230769230769,88.974358974359,0,0.256410256410256,0,0.256410256410256,82.3076923076923,0,0,0,58.7179487179487,57.6923076923077,94.6153846153846,84.1025641025641
104,"small",0,0,0,15.1041666666667,4.6875,0,72.1354166666667,26.5625,56.5104166666667,0,0,83.59375,97.3958333333333,97.1354166666667
1040,"medium",44.026284348865,52.3297491039427,0,85.9617682198327,27.0011947431302,0.17921146953405,63.3213859020311,53.9426523297491,0.657108721624851,2.92712066905615,16.4277180406213,18.8172043010753,60.5137395459976,76.8817204301075
1041,"medium",98.7437185929648,70.1005025125628,0,29.4597989949749,77.3241206030151,0,99.4346733668342,72.0477386934673,29.3341708542714,0,32.3492462311558,19.7236180904523,61.8090452261307,75.7537688442211
1042,"large",99.288256227758,79.4780545670225,46.9750889679715,97.0344009489917,27.1648873072361,93.7129300118624,76.7497034400949,41.2811387900356,52.3131672597865,23.7247924080664,34.282325029656,38.1969157769869,87.5444839857651,82.2064056939502
1043,"large",87.9385964912281,90.1315789473684,89.6929824561403,89.9122807017544,26.9736842105263,92.9824561403509,85.0877192982456,35.9649122807018,50.6578947368421,28.0701754385965,9.86842105263158,16.4473684210526,34.2105263157895,91.2280701754386
1044,"medium",97.9736575481256,90.8814589665653,0,86.4235055724417,63.9311043566363,87.0314083080041,100,48.5309017223911,84.3971631205674,81.9655521783181,42.9584599797366,47.8216818642351,98.1762917933131,54.305977710233
1045,"large",99.5338429983218,3.00205109080738,0,94.2755920193921,84.2066007831438,61.6446019019206,100,12.4370688047734,92.5414879731494,46.0003729256013,80.4400522095842,69.6252097706508,100,99.5338429983218
1046,"medium",32.5343985796715,34.2210386151798,11.0963160230803,95.02885042166,15.6679982245894,47.1815357301376,68.9747003994674,43.7194851309365,53.8393253439858,15.6679982245894,62.7163781624501,51.2649800266312,95.4727030625832,99.9556147359077
1047,"small",100,0,0,100,94.8488241881299,49.6080627099664,100,45.9126539753639,78.4994400895857,0,93.2810750279955,61.7021276595745,100,95.9686450167973
1048,"small",36.9990680335508,0,0,96.7381174277726,18.9189189189189,93.4762348555452,100,100,35.0419384902143,36.7194780987884,62.1621621621622,75.5824790307549,93.8490214352283,100
1049,"small",100,80.9803921568627,64.7058823529412,100,7.45098039215686,92.7450980392157,100,0,100,7.45098039215686,98.0392156862745,100,100,100
105,"medium",17.7289377289377,0,0,97.1428571428571,0,10.3296703296703,99.4139194139194,90.9157509157509,89.0842490842491,17.7289377289377,3.07692307692308,51.2820512820513,75.5311355311355,97.2161172161172
1050,"large",97.8220858895706,0,0,90.521472392638,66.9018404907976,97.9754601226994,92.8220858895705,81.3496932515337,66.717791411043,66.7791411042945,60.6441717791411,63.0368098159509,96.1963190184049,100
1051,"large",98.6958986958987,30.0888300888301,0,85.8249858249858,18.030618030618,99.6597996597997,100,21.5838215838216,96.7680967680968,38.8962388962389,73.0863730863731,90.5877905877906,96.5412965412965,100
1052,"large",100,22.6847768565885,0.0176397953783736,100,86.7348738754631,100,99.435526547892,68.2924678073734,86.3291585817605,75.0749691303581,88.9663079908273,73.3639089786558,99.0827306403246,100
1053,"small",98.438855160451,8.32610581092801,0,100,47.4414570685169,100,100,0,100,100,93.0615784908933,99.2194275802255,100,100
1054,"small",78.2717595491547,0,0,100,64.4333124608641,100,100,100,81.8409517845961,64.4333124608641,41.8910457107076,52.8490920475892,95.4289292423294,100
1055,"small",12.0849933598938,19.6547144754316,0.796812749003984,21.2483399734396,35.9893758300133,34.5285524568393,100,9.8273572377158,73.0411686586985,26.6932270916335,0.398406374501992,72.3771580345285,98.67197875166,99.734395750332
1056,"large",98.7944358578053,2.04018547140649,0,99.0726429675425,85.5332302936631,92.4574961360124,100,1.23647604327666,90.7882534775889,26.8624420401855,59.629057187017,61.1437403400309,100,98.7635239567233
1057,"large",99.9837239583333,20.9309895833333,0,99.9186197916667,88.1022135416667,98.7630208333333,99.3815104166667,43.0826822916667,58.3821614583333,85.8561197916667,84.8470052083333,91.2272135416667,97.216796875,100
1058,"large",100,37.2558910427326,0.0288246739208763,98.551560135476,92.6785328240974,98.551560135476,99.5460113857462,33.2204366938099,95.7195359227499,77.5527851841176,91.3093608128558,55.4082294444044,99.2505584780572,100
1059,"small",91.9667590027701,40.1662049861496,0,100,98.7072945521699,100,100,98.7996306555863,98.7996306555863,64.9122807017544,31.4866112650046,97.4145891043398,97.6915974145891,100
106,"small",52.5483304042179,0,0,0,100,94.9033391915642,78.7346221441125,26.0105448154657,62.7416520210896,0,0,92.2671353251318,85.9402460456942,100
1060,"small",8.33333333333333,0,0,98.8333333333333,0,100,99.3333333333333,15.5,0,0,0,98.1666666666667,100,100
1061,"large",97.0536109880372,9.59237926451041,0,94.1404519273372,35.2126716880815,88.7461231723527,100,78.0350022153301,81.2472308373948,18.4093929995569,56.9007532122286,86.8852459016393,69.53921134249,98.8923349579087
1062,"large",99.9222596527598,0.492355532521379,0,99.9481731018399,37.5226742679451,84.6074112464369,100,2.17672972272609,98.0046644208344,93.4179839336616,62.5291526302151,90.6193314330137,99.4558175693185,100
1063,"large",78.7082649151615,9.49644225506295,0,96.1138478379858,17.487684729064,58.31964969896,100,0.328407224958949,98.0569239189929,57.2249589490969,60.3174603174603,67.3234811165846,100,99.8905309250137
1064,"small",97.8548895899054,26.0567823343849,0,100,100,100,100,80.9463722397476,100,12.9337539432177,58.3596214511041,99.8738170347003,100,100
1065,"small",91.6137229987294,0,0,99.8729351969504,53.6848792884371,98.7293519695044,98.4116899618806,98.2210927573062,66.1372299872935,47.4587039390089,34.8792884371029,87.0393900889454,89.7712833545108,100
1066,"small",85.7731958762887,0,0,100,85.7731958762887,41.8556701030928,100,18.659793814433,50.4123711340206,0,71.1340206185567,98.3505154639175,100,76.9072164948454
1067,"small",100,0,0,100,85.4966887417219,100,100,69.4701986754967,100,68.1456953642384,99.8675496688742,89.0728476821192,100,100
1068,"large",98.6232790988736,98.6232790988736,0,100,0,19.0237797246558,21.9023779724656,11.2640801001252,98.6232790988736,0,15.8948685857322,32.4155193992491,99.874843554443,100
1069,"small",75.7637474541752,0,0,0,0,10.3869653767821,62.5254582484725,68.6354378818737,28.7169042769857,0,26.0692464358452,84.1140529531568,98.9816700610998,88.7983706720978
107,"large",86.3140218303946,0,22.4181360201511,0,64.399664147775,68.0100755667506,85.1385390428212,4.19815281276238,14.2737195633921,0,27.120067170445,59.8656591099916,90.5961376994123,95.4659949622166
1070,"small",100,62.1976866456362,0,100,100,100,100,68.4016824395373,100,9.72660357518402,68.8222923238696,99.8948475289169,100,100
1071,"large",96.6597077244259,96.6597077244259,85.3862212943633,0,33.4029227557411,53.8622129436326,92.4843423799582,86.2212943632568,26.9311064718163,0,61.1691022964509,29.2275574112735,83.0897703549061,32.9853862212944
1072,"small",98.3606557377049,100,74.5901639344262,85.2459016393443,0,84.4262295081967,70.4918032786885,27.0491803278689,54.0983606557377,100,70.4918032786885,100,59.8360655737705,94.2622950819672
1073,"large",94.5525291828794,89.8832684824903,89.8832684824903,84.4357976653696,0,0,90.6614785992218,84.4357976653696,27.0428015564202,25.2918287937743,42.9961089494163,33.4630350194552,16.147859922179,51.3618677042802
