"","dest.dist","melb","AC","large","medium","small"
"supermarket.800","Supermarket","40.59183","72.43652","89.40134","71.43302","39.64565"
"pharmacy.800","Pharmacy","31.79096","51.77771","60.33768","52.83400","32.08565"
"post.800","Post office","17.62313","30.95505","37.83565","29.76467","18.68200"
"gp.800","GP","51.33647","78.53400","89.46939","79.19041","57.89922"
"mat.child.health.800","Maternal & child health centre","24.74875","36.41380","40.90656","37.17171","30.53585"
"dentist.800","Dentist","42.42825","67.42170","81.44159","62.26544","44.54438"
"childcare.800","Childcare centre","78.13272","92.00631","94.14704","92.75805","88.65901"
"kindergarten.800","Kindergarten","39.37919","48.26961","47.45686","52.20090","50.11461"
"primary.800","Primary school","46.70961","58.61620","59.44175","67.42503","58.08853"
"comm.library.800","Community centre or library","21.77700","35.65152","46.22122","29.86434","21.26939"
"convenience.400","Convenience store or supermarket","24.96541","45.27521","52.51190","35.92308","37.33398"
"rest.cafe.400","Restaurant or cafe","31.56897","54.93022","62.06491","45.74220","49.57240"
"park.400","Local park","74.77646","78.28902","80.62719","78.97792","74.79659"
"bus.400.tram.600.train.800","Bus stop, tram stop or train station","75.76038","92.16913","94.01250","91.76230","91.08314"
"residences","Number of residences","2274046","1082153"," 697937"," 227770"," 303201"
