"LGA","NAME","score_single_hard_base","score_single_hard_int","score_single_hard_diff","score_single_soft_base","score_single_soft_int","score_single_soft_diff","score_wt_hard_base","score_wt_hard_int","score_wt_hard_diff","score_wt_soft_base","score_wt_soft_int","score_wt_soft_diff","score_wt_mult_hard_base","score_wt_mult_hard_int","score_wt_mult_hard_diff","score_wt_mult_soft_base","score_wt_mult_soft_int","score_wt_mult_soft_diff"
"Banyule","BANYULE",12.8972780404518,13.8835533228264,0.986275282374573,12.1606146986743,13.3915094067172,1.23089470804286,23.7858714210665,25.7276727081692,1.94180128710271,22.3426790820262,24.7385488162168,2.3958697341906,27.9110027580772,30.429439190964,2.51843643288679,26.0884328445614,29.0297851413142,2.94135229675282
"Bayside","BAYSIDE",13.857640291645,13.9987880186991,0.141147727054115,13.1186588964883,13.6607201827193,0.54206128623094,25.7613166349243,25.9965179584848,0.235201323560531,24.3888781653425,25.3268853781273,0.938007212784761,31.2933764260018,31.8880167753602,0.594640349358421,29.2593793757014,30.602576568787,1.34319719308567
"Boroondara","BOROONDARA",13.2211700808784,14,0.778829919121554,12.6109337196437,13.6825845591098,1.07165083946619,24.3467619103843,26,1.65323808961568,23.1267855510969,25.3790682158999,2.25228266480299,29.9809079638704,31.9449082000118,1.96400023614145,28.1059923404241,30.756974600336,2.65098225991193
"Brimbank","BRIMBANK",12.4756328677034,13.8675778455514,1.39194497784806,11.6827356192216,13.3367620487756,1.65402642955402,23.0614731980371,25.6668047240734,2.60533152603637,21.4035218060284,24.6054279254739,3.2019061194455,25.5111387225925,29.8763507662186,4.36521204362614,23.830575070648,28.4771815002189,4.64660642957096
"Cardinia","CARDINIA",10.7971383147854,11.9945945945946,1.19745627980922,10.1497815757454,11.2645612875944,1.11477971184897,19.8454200807142,21.854078512902,2.00865843218784,18.6172449798381,20.4907202514583,1.87347527162021,22.2635196282255,24.504096857038,2.24057722881252,21.0816980091542,23.1549128209661,2.07321481181193
"Casey","CASEY",11.584805697046,12.5811591951533,0.996353498107254,10.8084857415713,11.8188461322666,1.01036039069532,21.2901667089094,22.9255165196347,1.63534981072529,19.7175746903756,21.406686537031,1.68911184665535,22.9463490013,25.6126940781136,2.66634507681364,21.5159403937202,24.0459521822778,2.53001178855754
"Darebin","DAREBIN",13.6648,13.9664,0.301600000000001,12.9854402712886,13.6588054401712,0.673365168882579,25.434725,25.9204125,0.485687500000001,24.1019307226457,25.3350607159249,1.23312999327913,30.574075,31.7611625,1.1870875,28.7649686464489,30.6818132787042,1.91684463225528
"Frankston","FRANKSTON",12.4002894441491,13.5114596254947,1.11117018134562,11.5451161107524,12.877362693055,1.3322465823026,23.0807194754563,24.9256010396361,1.84488156417981,21.3684705398525,23.660345931759,2.29187539190649,25.7701281824089,28.8030303030303,3.03290212062142,24.0012541649143,27.2026194356306,3.20136527071635
"Glen Eira","GLEN EIRA",13.6473585867165,14,0.352641413283505,12.9441010242905,13.7071762119084,0.7630751876179,25.3087637689302,26,0.691236231069762,23.9855689575531,25.4365588957866,1.45098993823348,30.9172622858711,31.9837974154264,1.06653512955534,28.9247881507195,30.8506283223161,1.92584017159659
"Greater Dandenong","GREATER DANDENONG",13.2369791280355,13.7612555814333,0.524276453397812,12.4135281674584,13.225226602022,0.811698434563597,24.6030173117147,25.4246042930679,0.821586981353192,22.9429310269946,24.3801425282558,1.43721150126127,27.9702125765825,30.0498731661005,2.07966058951803,26.1364216664397,28.5916376670242,2.45521600058445
"Hobsons Bay","HOBSONS BAY",13.2449997876768,13.962800968194,0.717801180517219,12.4887855469632,13.5737310761464,1.08494552918323,24.3602913074865,25.9146672894815,1.55437598199499,22.8699439176666,25.1427134971209,2.27276957945435,28.4098900165612,31.0924667714128,2.68257675485158,26.6390031592171,29.8201937988519,3.18119063963472
"Hume","HUME",11.7666216547999,12.9215443162288,1.15492266142892,11.07608617819,12.2390421041663,1.16295592597622,21.4769580162043,23.5917505524184,2.11479253621409,20.0675609461902,22.2541454755409,2.18658452935072,23.6991038546526,26.8169408298551,3.11783697520256,22.3309556573767,25.2858262390644,2.9548705816877
