"LGA","NAME","score_single_hard_base","score_single_hard_int","score_single_hard_diff","score_single_soft_base","score_single_soft_int","score_single_soft_diff","score_wt_hard_base","score_wt_hard_int","score_wt_hard_diff","score_wt_soft_base","score_wt_soft_int","score_wt_soft_diff","score_wt_mult_hard_base","score_wt_mult_hard_int","score_wt_mult_hard_diff","score_wt_mult_soft_base","score_wt_mult_soft_int","score_wt_mult_soft_diff"
"Banyule","BANYULE",6.14896900446546,10.0959581034936,3.94698909902811,5.96270188808987,9.25234845471559,3.28964656662572,10.1496913580247,17.854133832414,7.70444247438928,10.0134119647813,16.4111944159927,6.39778245121138,10.622865773575,18.4332643814027,7.81039860782769,10.5569684882553,17.1283957313856,6.57142724313034
"Bayside","BAYSIDE",7.32665781727939,11.4609761258922,4.13431830861276,7.12859943730206,10.4511500921207,3.32255065481868,13.0966122236971,20.5853677305169,7.4887555068198,12.8545288898569,18.8390387081631,5.98450981830618,14.0192570362248,21.6950039437487,7.6757469075239,13.84134955343,20.1043446635961,6.26299511016602
"Boroondara","BOROONDARA",7.2694019717811,11.9942263415786,4.72482436979751,7.00749466930036,10.7916848233758,3.78419015407544,11.9432788240156,21.7540114528603,9.81073262884468,11.7077430974008,19.5851110420117,7.8773679446109,12.9581203140681,22.9666686345121,10.0085483204439,12.8226487785028,20.9925821461632,8.16993336766034
"Brimbank","BRIMBANK",5.0779647828106,9.37712263262924,4.29915784981864,5.00980047841643,8.70466758875791,3.69486711034149,7.92587572323255,16.5052148047743,8.57933908154173,7.9696945383755,15.3724119489393,7.40271741056383,8.09822156958721,16.7979718111877,8.69975024160046,8.18375196471137,15.771865560004,7.58811359529268
"Cardinia","CARDINIA",3.68971505442094,4.89996331172802,1.21024825730708,3.7437130274862,4.8250387818609,1.0813257543747,6.1256206432677,8.20432921609392,2.07870857282622,6.25262117406345,8.14776872820748,1.89514755414403,6.44338999633117,8.55766173413232,2.11427173780115,6.60608100951816,8.54561617235522,1.93953516283706
"Casey","CASEY",4.11666353252827,5.59671814829653,1.48005461576826,4.13170357525396,5.45861537862797,1.32691180337401,6.37067591101227,8.98491525562305,2.61423934461078,6.55669510250237,8.90337117827507,2.3466760757727,6.4817225224636,9.16369196052621,2.68196943806261,6.69436428312149,9.14520054170435,2.45083625858286
"Darebin","DAREBIN",7.5803125,12.456875,4.8765625,7.32513809057579,11.1662284157126,3.84109032513686,13.2545625,22.7857,9.5311375,12.9315602025094,20.4379022741997,7.50634207169036,14.1435375,23.903075,9.7595375,13.92801648378,21.7982955957695,7.87027911198943
"Frankston","FRANKSTON",4.69061964676,7.71668438773702,3.02606474097702,4.70655417430119,7.35209039498096,2.64553622067977,7.66452537066572,13.2542235217674,5.58969815110166,7.85265950341005,12.7428058627284,4.89014635931838,7.85591293047433,13.5422204501152,5.68630751964085,8.0785063274921,13.1052500841757,5.02674375668357
"Glen Eira","GLEN EIRA",7.3049744547961,12.3880127007356,5.08303824593955,7.08290158509392,11.0813170175469,3.99841543245297,12.9624465902706,22.7020161764514,9.73956958618076,12.6477337692368,20.2820605405587,7.63432677132186,13.8767427578367,23.8709281206309,9.99418536279416,13.6619514638205,21.6496713586651,7.9877198948446
"Greater Dandenong","GREATER DANDENONG",5.6695643144294,9.26154485173043,3.59198053730103,5.62160971718768,8.54299002960149,2.9213803124138,9.68924952900862,16.4431027577102,6.75385322870155,9.71474436525099,15.2160956477755,5.50135128252454,9.933571672279,16.8581388794114,6.92456720713237,10.0308051426126,15.7774897358515,5.74668459323884
